source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
F955FB40-FAA9-44A2-9001-BFBEAFEFBFEC,Dolce Freddo,Fatburs brunnsgata 15,,Detaljhandel,,2024-05-21,Utan avvikelse,6,59.31430089639777,18.067002679536525,Stockholms stad livsmedelskontroll
DD081D93-4DC4-475F-98D8-87B0C93C9EF0,Dovas Hornstull,Långholmsgatan 12,,"Restaurang-, catering- och barverksamhet",6.0,2025-04-29,Utan avvikelse,10,59.31797624506735,18.03196797325902,Stockholms stad livsmedelskontroll
45DEDA04-E5CD-4214-99FE-D28205E9BDCD,Downtown Camper by Scandic,Brunkebergstorg 9,,"Restaurang-, catering- och barverksamhet",5.0,2025-09-22,Utan avvikelse,30,59.33129932736436,18.065545595051855,Stockholms stad livsmedelskontroll
80CB9BB6-A670-4426-8E45-8CAEDA674B24,"Dricksvattenfontäner, skarpnäcks SDF",Björkhagsplan 6,,Övrigt,,2025-09-08,,7,59.29077764327345,18.116701387986982,Stockholms stad livsmedelskontroll
9D316D9E-FE6E-45B8-91CA-0D8E62D55F1D,Droppar,Främlingsvägen 28,,Detaljhandel,7.0,2024-05-08,Utan avvikelse,6,59.304061136176045,18.0066358059852,Stockholms stad livsmedelskontroll
A1B8B3C6-7B7A-4CD7-839D-93BA033107FD,Dryck STHLM Retail AB,Flottbrovägen 25,,Partihandel,8.0,2025-10-09,Utan avvikelse,6,59.322877434183134,17.990199573519032,Stockholms stad livsmedelskontroll
563B45D1-9B6E-48C8-90BC-8D2E2708799B,Därmed Pasta,Långholmsgatan 5,,"Restaurang-, catering- och barverksamhet",5.0,2025-03-24,,12,59.317739032736675,18.032891450744636,Stockholms stad livsmedelskontroll
A8797008-A5D1-4D4E-9AD2-35DB924B47EB,E&G,Birger Jarlsgatan 112,,"Restaurang-, catering- och barverksamhet",6.0,2025-09-05,Utan avvikelse,14,59.34807895218155,18.06060377582709,Stockholms stad livsmedelskontroll
4CEBEE29-9E07-4DC7-A74A-D8F15E333BCD,EMMA Träfflokal,Lingvägen 161,,"Restaurang-, catering- och barverksamhet",6.0,2024-02-26,Utan avvikelse,9,59.2557751182286,18.087118920249814,Stockholms stad livsmedelskontroll
7E77DAF9-0D33-498C-BAD9-55469100C7CB,Eatalia,Jungfrugatan 70,,"Restaurang-, catering- och barverksamhet",6.0,2024-10-10,Utan avvikelse,7,59.34369703227319,18.086990144724375,Stockholms stad livsmedelskontroll
29C06EF2-2658-4E85-B5E0-01D490BAF6B2,Eatery Kista Gate,Torshamnsgatan 48,,"Restaurang-, catering- och barverksamhet",4.0,2024-11-26,Utan avvikelse,8,59.409752037161645,17.94958704258955,Stockholms stad livsmedelskontroll
9985FAFE-AC97-4560-AAC1-8EA62CB41DAC,Eatnam,Birger Jarlsgatan 36,,"Restaurang-, catering- och barverksamhet",5.0,2025-09-16,Utan avvikelse,27,59.339008748121365,18.068407079990305,Stockholms stad livsmedelskontroll
D8496B74-280C-4D63-BA05-AE298C0C92C3,Eatnam,Sankt Paulsgatan 2,,"Restaurang-, catering- och barverksamhet",5.0,2025-08-13,Utan avvikelse,23,59.31868447517038,18.07075458986033,Stockholms stad livsmedelskontroll
E79EEEC3-ADF2-4F3D-8E59-059C53723955,Edberg Mat & Inspiration AB,Svärdlångsvägen 44,,"Restaurang-, catering- och barverksamhet",,2025-03-18,Utan avvikelse,8,59.30005744790669,18.03212041437699,Stockholms stad livsmedelskontroll
97A06089-C3D6-46AC-ABC5-3A3D9FAB0960,Ejes Chokladfabrik AB,Erik Dahlbergsgatan 25,,Detaljhandel,8.0,2024-02-29,Utan avvikelse,6,59.341903428104786,18.090889172852215,Stockholms stad livsmedelskontroll
